Date,returns_x_days_ago
2022-10-17 00:00:00-04:00,-0.017095495014361355
2022-10-18 00:00:00-04:00,0.022988394961988227
2022-10-19 00:00:00-04:00,0.02355437953770566
2022-10-20 00:00:00-04:00,0.021440158540212438
2022-10-21 00:00:00-04:00,0.04972529380083457
2022-10-24 00:00:00-04:00,0.03524872947827929
2022-10-25 00:00:00-04:00,0.07630794184558386
2022-10-26 00:00:00-04:00,0.041437338943615815
2022-10-27 00:00:00-04:00,0.023846113079109454
2022-10-28 00:00:00-04:00,0.055685200356852683
2022-10-31 00:00:00-04:00,0.056922218718261974
2022-11-01 00:00:00-04:00,0.027331524566533656
2022-11-02 00:00:00-04:00,-0.010557673519596973
2022-11-03 00:00:00-04:00,-0.03613742706398806
2022-11-04 00:00:00-04:00,-0.01484230207280976
2022-11-07 00:00:00-05:00,-7.904099771101544e-05
2022-11-08 00:00:00-05:00,-0.01804533109671053
2022-11-09 00:00:00-05:00,-0.03127817450735612
2022-11-10 00:00:00-05:00,0.026448657735694485
2022-11-11 00:00:00-05:00,0.06306187533953521
2022-11-14 00:00:00-05:00,0.06498484548350977
2022-11-15 00:00:00-05:00,0.058828277405159245
2022-11-16 00:00:00-05:00,0.04079487017886781
2022-11-17 00:00:00-05:00,0.03204174703324725
2022-11-18 00:00:00-05:00,0.05853571262271658
2022-11-21 00:00:00-05:00,-0.00025343960816527996
2022-11-22 00:00:00-05:00,0.0034879764620737597
2022-11-23 00:00:00-05:00,0.0184754246636671
2022-11-25 00:00:00-05:00,0.009636407895121506
2022-11-28 00:00:00-05:00,0.0011632342807844072
2022-11-29 00:00:00-05:00,0.0025113144567674903
2022-11-30 00:00:00-05:00,0.02941682395234807
2022-12-01 00:00:00-05:00,0.03241344295186108
2022-12-02 00:00:00-05:00,0.017529393330893893
2022-12-05 00:00:00-05:00,-0.007032535611293279
2022-12-06 00:00:00-05:00,-0.021127003196609876
2022-12-07 00:00:00-05:00,-0.0069459832560822875
2022-12-08 00:00:00-05:00,0.002555421039385713
2022-12-09 00:00:00-05:00,-0.03532180468608938
2022-12-12 00:00:00-05:00,-0.020693058911617004
2022-12-13 00:00:00-05:00,-0.012140199590654098
2022-12-14 00:00:00-05:00,-0.0004754272477553241
