Date,alpha1,alpha2,alpha3,alpha4,alpha5,alpha6,alpha12,alpha13,alpha14,alpha15,alpha54,alphaExt1,alphaExt2,alphaExt3,alphaExt4
2023-02-15 00:00:00-05:00,4.5,0.2343203963354735,-0.4605884453484586,-7.0,-103200.0,-0.478555848938383,1.3158569335938068,-118.0,-150.74509241559065,-6.0,-0.9402438591556308,1.0396971772622312,0.8903837649855526,1.030642838963879,0.9305710597339708
2023-02-16 00:00:00-05:00,3.5,-0.1692476059235676,-0.2628487961959128,-5.0,-57684.0,-0.2726694617291121,5.597320556640682,-182.0,-23.722243170432755,-6.0,-0.0295305995619946,1.0521799498143245,0.9082788841365494,1.032677517715472,0.8702127984229554
2023-02-17 00:00:00-05:00,2.5,0.1747703255953834,-0.0014983537104517,-1.0,-32600.0,0.0297801555979075,1.001556396484375,-57.0,7.177017499095722,-5.0,-0.914158180732488,1.0693702165823564,0.9185235746603376,1.022687128586268,0.8412698412698413
2023-02-21 00:00:00-05:00,1.5,0.1830498453921785,0.0893364139532575,-1.0,-54366.0,0.1214667475759687,-8.022796630859375,-58.0,4.615736407886812,-4.0,-0.0531250575668282,1.0987572013012237,0.9406725775094716,1.0290210654768996,0.7748279785284675
2023-02-22 00:00:00-05:00,0.5,-0.230325110561585,0.2180830113782993,-1.0,-50032.0,0.2532484397838541,0.540130615234375,-29.0,55.96790519223176,-6.0,-0.3744023845588192,1.097207650221306,0.9439880069106252,1.0356781637919603,0.7989847405912912
2023-02-23 00:00:00-05:00,4.5,-0.0511558897191726,0.3567168778933384,-1.0,-30972.0,0.418918618407005,-2.081848144531307,-243.0,66.60806032671381,-7.0,-0.7495374807339137,1.0722232959057276,0.94037241179323,1.0286529968354283,0.8445378582269318
2023-02-24 00:00:00-05:00,3.5,-0.5608351413644744,0.64964735012306,-1.0,-18496.0,0.7078163732512571,4.202880859375057,-212.0,296.5750603922767,-6.0,-0.7498564206965627,1.088148966630998,0.9361997089492632,1.0491311190973762,0.798582986728715
2023-02-27 00:00:00-05:00,2.5,-0.7199660507146293,0.6365973054001647,-3.0,-72850.0,0.6661203715184218,1.325653076171875,-256.0,123.89838910242646,-4.0,-0.2217310685575176,1.0775818328729143,0.934206927484068,1.0582013636178589,0.8258131629387242
2023-02-28 00:00:00-05:00,1.5,-0.5049763369301185,0.64297653951043,-2.0,-40128.0,0.6662877560641041,1.443511962890625,-242.0,163.2405002357055,-3.0,-0.0355810984193088,1.0568985485512388,0.9163397026459807,1.054738722782928,0.9120171972452318
2023-03-01 00:00:00-05:00,0.5,-0.7413286546456954,0.8214688275709833,-1.0,-35838.0,0.8257281078793512,1.49261474609375,-241.0,139.54805023161035,-4.0,-0.4143708437153989,1.0805235297269424,0.9106774379129324,1.041459816221825,0.8827292149027935
2023-03-02 00:00:00-05:00,4.5,0.0457025831920156,0.5483955576372039,-1.0,-76814.0,0.5340686614651048,3.0146484375,-163.0,247.8078589198086,-6.0,-0.8074927542356092,1.0900166503968418,0.9297964594772408,1.0405230681248367,0.8751380878258805
2023-03-03 00:00:00-05:00,4.5,0.116227708556772,0.3325541229913827,-9.0,-62244.0,0.3530129621338014,-6.265045166015625,-198.0,151.79557371753464,-8.0,-0.9004235258108924,1.078656897799937,0.926218985790899,1.0377860113162705,0.8652968535627401
2023-03-06 00:00:00-05:00,4.5,0.1385802231174993,0.5630037639355777,-9.0,-119808.0,0.5809347539540507,0.27496337890625,-64.0,148.13836225828294,-7.0,-0.1346798266741685,1.0741650315129754,0.9229366851665995,1.0436334102307767,0.8638985485846372
2023-03-07 00:00:00-05:00,3.5,0.5803626996690292,0.2562083498646023,-7.0,-24862.0,0.1961922323038644,6.0882568359375,-80.0,2.746691252254102,-5.0,-0.098145706338505,1.0775206938660349,0.9259180866818024,1.056138270687354,0.8847457971950036
2023-03-08 00:00:00-05:00,2.5,0.6917405662337901,0.1776980878134518,-5.0,-115736.0,0.1484675656474333,0.6383056640625,-203.0,15.292159261685638,-5.0,-0.7418537395728095,1.0596766496825651,0.9187249027527884,1.060392386498261,0.9284890753578292
2023-03-09 00:00:00-05:00,1.5,0.7175626567705213,0.1708177866737982,-1.0,-21306.0,0.1240217980089733,7.22735595703125,-40.0,4.3407629303140665,-7.0,-0.1043082138336625,1.069939873276516,0.9453364520055104,1.0627360978549476,0.8792924177075312
2023-03-10 00:00:00-05:00,0.5,0.6493706862896497,0.3459845955226611,-1.0,-428.0,0.5290832010710572,5.548187255859375,-7.0,152.90504510953554,-7.0,-0.192018048469013,1.116401694649088,0.9866524330219294,1.0802340873364806,0.7344632979416582
2023-03-13 00:00:00-04:00,1.5,0.0317182695398617,0.483620464020744,-1.0,-2736.0,0.6519047320212923,-0.540130615234375,-18.0,245.1161792400059,-5.0,-0.4617039959778418,1.1097626738651916,1.0287926245406285,1.0679111181021783,0.7004565931346318
2023-03-14 00:00:00-04:00,0.5,0.2693330919606027,0.5342225330758891,-3.0,-4640.0,0.6811558498361534,6.255218505859375,-14.0,326.27365207151746,-5.0,-0.7198422645771484,1.076407887579169,1.0046516661220588,1.0513837448030716,0.7572534032522322
2023-03-15 00:00:00-04:00,3.5,0.2204877697444293,0.5887497304531155,-2.0,-944.0,0.743498405876869,2.405822753906193,-273.0,352.4182443856359,-6.0,-0.9224339371163268,1.0889164769938482,1.026399839106949,1.0552397992145055,0.683453256166671
2023-03-16 00:00:00-04:00,4.5,0.3168851026539394,0.6669814803232204,-4.0,-7140.0,0.8076723203413688,6.706878662109318,-296.0,356.18349327054364,-6.0,-0.8566998448591472,1.0544594522376085,1.0055911615059336,1.0422454495187703,0.7411417734512836
2023-03-17 00:00:00-04:00,3.5,0.0924841972130903,0.6383701997928355,-6.0,-9101.0,0.7900149790584328,-4.548095703125,-304.0,67.94128819902522,-5.0,-0.2565178604795711,1.054532473105153,1.034807151887076,1.0543906242828929,0.6696348611280389
2023-03-20 00:00:00-04:00,2.5,-0.4073442882043055,0.450576610303916,-8.0,-64856.0,0.6513857066372666,3.696441650390625,-167.0,142.00208404692413,-6.0,-0.8621932433397489,1.0604054192799972,1.0317612014737538,1.0393826936764448,0.6830855115455927
2023-03-21 00:00:00-04:00,4.5,-0.3139529933815759,0.609258514269165,-9.0,-71669.0,0.7005056285841252,5.096221923828125,-59.0,21.715674486107883,-7.0,-0.851404469897451,1.053009771535396,0.9968711735106824,1.024504738158247,0.7717502956097636
2023-03-22 00:00:00-04:00,3.5,0.2537607022151979,0.5380372588300023,-8.0,-26785.0,0.6670643946155582,6.702972412109375,-93.0,76.71240538078919,-7.0,-0.0041716653986747,1.0777662711186986,1.0409993204274872,1.041494438904883,0.7189349154721034
2023-03-23 00:00:00-04:00,2.5,0.5323745320661528,0.5520480659034434,-7.0,-20008.0,0.6542203770285031,-1.044952392578125,-84.0,49.066528277137735,-6.0,-0.3232144954650584,1.082222715790884,1.0557885523182242,1.0409365804925508,0.6698564593301436
2023-03-24 00:00:00-04:00,1.5,0.5758718302863144,0.5568991849648922,-5.0,-32294.0,0.7473971933053267,2.543121337890682,-164.0,262.33641485016966,-6.0,-0.9382688790204926,1.078925605594132,1.051952208295688,1.0315002225249326,0.7182817444744243
2023-03-27 00:00:00-04:00,0.5,0.519753380773705,0.5908558662343578,-8.0,-143925.0,0.7648703417660178,0.7294311523436932,-77.0,322.01041388349347,-5.0,-0.282518578217845,1.089415229442358,1.0394653286207134,1.0283210853040878,0.7494802573945252
