Date,alpha1,alpha2,alpha3,alpha4,alpha5,alpha6,alpha12,alpha13,alpha14,alpha15,alpha54,alphaExt1,alphaExt2,alphaExt3,alphaExt4
2022-05-27 00:00:00-04:00,4.5,0.24073844703339134,0.24311224091320335,-9.0,-82012.0,0.18160259747950852,-9.644561767578125,-178.0,79.72354029350424,-6.0,-0.9002892844325937,0.9507181769618528,0.9185617623812852,0.9829413448630563,0.8988195580800652
2022-05-31 00:00:00-04:00,3.5,0.2072397360771456,0.09293054714079504,-9.0,-49742.0,0.11306618941505372,2.2584228515625,-175.0,6.783971364903223,-6.0,-0.45440648940611555,0.9987438044911037,0.9353229890388604,1.0024751507453107,0.8862207284680507
2022-06-01 00:00:00-04:00,2.5,0.19825660007910725,0.07872871714129503,-7.0,-76201.0,0.13535852400214649,-3.237518310546875,-277.0,1.6243022880257578,-8.0,-0.30571436966866977,1.0169899728942557,0.957512486094979,1.0235616868444846,0.846286716077502
2022-06-02 00:00:00-04:00,4.5,0.4421548849340393,0.24838532359291599,-7.0,-95499.0,0.2907159863996119,7.560577392578182,-259.0,81.10976020549171,-7.0,-0.9037380901197999,1.008190880296977,0.95787706027341,1.0121722529605377,0.8559670833574788
2022-06-03 00:00:00-04:00,3.5,0.4623450479473204,0.3084452317466766,-8.0,-120375.0,0.3485378996538406,-6.639739990234432,-346.0,64.4795114359605,-6.0,-0.23257040054815648,1.0306733416215257,0.9638142461449212,1.0165982887510943,0.877693649544267
2022-06-06 00:00:00-04:00,2.5,0.1002695883622518,0.34267125209061183,-9.0,-134652.0,0.32540579850185675,1.211639404296875,-406.0,116.49527586366472,-5.0,-0.21216146684249435,1.0232951138044828,0.9504213309756107,1.0128065940560067,0.8968768396304837
2022-06-07 00:00:00-04:00,1.5,0.2713572987381172,0.41723294649752024,-5.0,-119168.0,0.4097698314723663,-3.828735351562557,-206.0,94.65683107011661,-5.0,-0.8606188483239195,1.0381250758891742,0.9574033309049472,1.0089551594898483,0.8763636733546402
2022-06-08 00:00:00-04:00,0.5,0.3910653807747267,0.3803848595710043,-8.0,-89600.0,0.36253092610806925,4.3812255859375,-445.0,73.23124707382999,-5.0,-0.15956646609787378,1.054779332516599,0.971354932561344,1.0119943654693602,0.8793939763849432
2022-06-09 00:00:00-04:00,2.5,0.49648963258032497,0.19965827654774648,-1.0,-40018.0,0.15043460834504568,9.479797363281307,-23.0,11.733899450913563,-4.0,0.0,1.0812153742078918,1.0035433272216485,1.0350079837457857,0.8173410051819906
2022-06-10 00:00:00-04:00,1.5,0.5316557943500957,0.5580580168888222,-1.0,-5460.0,0.7360602428667511,11.282684326171875,-3.0,7.3606024286675105,-5.0,-0.008844297633230025,1.1148739683268978,1.0405620031510947,1.0543968302994593,0.7753544257395313
2022-06-13 00:00:00-04:00,0.5,0.6172168696334691,0.6830402250956107,-1.0,-1252.0,0.9079697896838042,14.345703125,-1.0,126.20780076604878,-5.0,-0.21302291897207423,1.1548931527565056,1.0779589539239043,1.0840213191128198,0.6881306715436131
2022-06-14 00:00:00-04:00,4.5,0.6356436782983323,0.7701275358904239,-1.0,-25760.0,0.7919961900454631,-1.09527587890625,-2.0,322.34244934850346,-7.0,-0.4643287277082417,1.1789898771768064,1.1116789110280414,1.1063682289507513,0.6689791771974112
2022-06-15 00:00:00-04:00,4.5,0.7373699684396621,0.8708352511740962,-2.0,-9744.0,0.8195055105248862,-5.166412353515625,-27.0,378.6115458624974,-8.0,-0.5865790923588241,1.1501107773827277,1.1124091384682027,1.0881883536218642,0.71707062126022
2022-06-16 00:00:00-04:00,3.5,0.744194674782734,0.8922878634155184,-1.0,-7620.0,0.8262302504562218,12.164794921875,-364.0,242.085463383673,-7.0,-0.3947758319295509,1.2227822607917669,1.1591944644212822,1.1185735323247112,0.6656760671592306
2022-06-17 00:00:00-04:00,2.5,0.7469238844240471,0.8852580562331862,-1.0,-22848.0,0.7522420811695648,0.766082763671875,-351.0,288.1087170879433,-6.0,-0.5093427433686849,1.21933762784626,1.155496231691661,1.1248386493693356,0.675000015570193
2022-06-21 00:00:00-04:00,1.5,0.7858577897448326,0.7284390904562247,-6.0,-120053.0,0.557883688714292,8.965911865234375,-227.0,178.52278038857344,-4.0,-0.6618928554422652,1.185862346084867,1.1411729413717984,1.0924142893173232,0.6939094160149446
2022-06-22 00:00:00-04:00,0.5,0.6644174586229692,0.614557546125205,-4.0,-72063.0,0.3766884781235517,0.661956787109375,-218.0,177.0435847180693,-5.0,-0.46865041016367115,1.1823985274752369,1.1379751121496247,1.0711986098052975,0.7188515306647922
