t_buy,t_sell,RETURN
1.3475,1.2324,140471.21887207034
1.3245,1.1222,154050.98114013672
1.3237,1.2298,149445.7878112793
1.3111,1.152,154388.78555297852
1.2965,1.2588,169772.39151000977
1.3492,1.2703,135883.5174560547
1.3148,1.1953,154668.0778503418
1.3274,1.1897,178116.0400390625
1.2851,1.2068,230746.70867919922
1.2965,1.2229,187036.91177368164
1.3395,1.124,157826.7105102539
1.3289,1.1602,171235.5438232422
1.3238,1.1233,154050.98114013672
1.3248,1.2343,149101.3038635254
1.3144,1.1811,162137.19635009766
1.3141,1.1521,154315.40298461914
1.2875,1.2379,309311.1618041992
1.3054,1.2129,182545.95642089844
1.2859,1.119,155319.3572998047
1.3287,1.1594,171235.5438232422
1.3105,1.2145,176282.94296264648
1.3399,1.2211,140338.36364746097
1.2989,1.1971,188236.41967773438
1.3163,1.1762,161658.51287841797
1.347,1.1357,160923.77853393555
1.2929,1.1641,157617.62084960938
1.3312,1.1861,180722.36938476562
1.31,1.1591,156504.76455688477
1.3418,1.1433,164898.01330566406
1.295,1.1612,157757.6202392578
1.3289,1.1754,165195.6153869629
1.2891,1.1189,155111.4601135254
1.3324,1.2649,141204.39453125
1.3463,1.205,147686.98806762695
1.3414,1.1303,158211.50970458984
1.3462,1.2041,155068.58749389648
1.296,1.1389,151286.56692504883
1.3132,1.183,163864.0396118164
1.3107,1.1422,150940.1107788086
1.3261,1.1814,177394.48318481445
1.3372,1.194,154663.25607299805
1.3338,1.235,146115.9965515137
1.2962,1.2519,182440.38467407227
1.3089,1.1931,177739.07318115234
1.3318,1.2531,141171.13494873047
1.3462,1.2231,138656.0974121094
1.3195,1.1016,270983.67919921875
1.3442,1.1676,169337.4252319336
1.2823,1.2772,166031.49414062494
1.3384,1.16,153627.42767333984
1.2932,1.1135,147323.50845336914
1.2845,1.2737,125824.61166381837
1.3348,1.1098,282775.14877319336
1.3374,1.2202,142555.5732727051
1.3381,1.1933,158701.02081298828
1.2973,1.1056,270381.10275268555
1.3259,1.2022,168252.2705078125
1.3274,1.1457,174581.38885498047
1.3244,1.1878,179669.4206237793
1.2978,1.1471,154654.4418334961
1.3205,1.1446,152879.47692871094
1.3035,1.2181,179954.96063232422
1.3092,1.144,151052.51007080078
1.3131,1.1566,156347.38235473633
1.334,1.1271,161258.43963623047
1.3183,1.1639,155921.78268432617
1.3284,1.2597,136416.8846130371
1.3382,1.1379,153051.23825073242
1.331,1.1555,171016.25747680664
1.2939,1.1766,163777.77633666992
1.3033,1.1647,155724.21493530273
1.3002,1.2266,183905.3596496582
1.3349,1.1557,169451.22528076172
1.3475,1.1316,160923.77853393555
1.3457,1.2444,139697.07489013675
1.3402,1.1431,164898.01330566406
1.2975,1.2118,186178.2196044922
1.323,1.2119,143476.2939453125
1.287,1.1463,167216.87088012695
1.3079,1.1639,155995.16525268555
1.2904,1.165,169506.3865661621
1.2852,1.1826,183965.23208618164
1.3048,1.2311,188813.17749023438
1.3115,1.1584,156420.7649230957
1.3036,1.2627,176410.0257873535
1.3135,1.2277,149702.06298828125
1.3291,1.1489,174833.07647705078
1.2877,1.2557,189034.3849182129
1.3461,1.2147,138944.65255737305
1.2851,1.1661,181458.3152770996
1.2807,1.2764,131227.24227905273
1.3168,1.239,144521.7643737793
1.3112,1.2672,141236.9590759277
1.3116,1.169,155724.21493530273
1.3254,1.1238,154050.98114013672
1.3163,1.1954,154668.0778503418
1.2806,1.258,183180.32913208008
1.3065,1.1699,155724.21493530273
1.301,1.1052,271082.4768066406
1.3364,1.1428,159008.09326171875
1.3452,1.1178,157826.7105102539
1.331,1.2127,140478.30123901367
1.2861,1.1838,189773.0369567871
1.2939,1.1537,156011.24114990234
1.2865,1.2596,179168.04580688477
1.2994,1.1317,151622.34420776367
1.2948,1.2768,137459.17663574216
1.2822,1.1024,399107.6126098633
1.3481,1.1251,158572.6921081543
1.3379,1.1983,154855.84869384766
1.2845,1.1004,402108.30841064453
1.3149,1.2147,147420.3971862793
1.3055,1.2032,177087.39624023438
1.317,1.2054,148521.64993286133
1.2838,1.1024,399107.6126098633
1.3435,1.1842,178051.97296142578
1.3099,1.1768,161550.8430480957
1.3351,1.2589,140409.8159790039
1.2899,1.234,206308.54949951172
1.2986,1.1791,163777.77633666992
1.315,1.1294,150743.52645874023
1.3443,1.135,158516.3314819336
1.3347,1.1511,168462.17651367188
1.3402,1.2127,140264.74838256836
1.3353,1.1349,161563.26141357422
1.2821,1.1909,219334.53216552734
1.3418,1.1875,177628.69110107422
1.3326,1.1108,282775.14877319336
1.3424,1.2008,156041.41311645508
1.2975,1.1224,147459.88845825195
1.3436,1.127,158211.50970458984
1.3054,1.2029,176294.27642822266
1.331,1.1389,168534.71755981445
1.3129,1.1251,148161.26251220703
1.2891,1.1792,176053.29971313477
1.3137,1.1186,148161.26251220703
1.3213,1.2366,145973.27117919922
1.3113,1.1269,150743.52645874023
1.286,1.2315,330146.4385986328
1.29,1.2508,188411.09085083008
1.2831,1.221,208633.3770751953
1.3354,1.1316,161563.26141357422
1.2957,1.1904,185304.40521240234
1.2825,1.2787,167441.31393432617
1.3124,1.1339,150874.51400756836
1.3166,1.1554,152484.35897827148
1.3027,1.1147,148024.88250732422
1.2885,1.261,183529.48760986328
1.3278,1.2658,135627.63442993164
1.2924,1.1056,270381.10275268555
1.308,1.1147,148024.88250732422
1.3461,1.2584,135818.505859375
1.3403,1.1675,169337.4252319336
1.3303,1.2417,135873.9929199219
1.2953,1.1373,151286.56692504883
1.3407,1.1734,168877.4139404297
1.3356,1.1263,160337.64114379883
1.3315,1.1444,168893.0809020996
1.3444,1.1833,174683.10546875
1.3371,1.2784,141512.2528076172
1.3421,1.1007,156607.82623291016
1.3254,1.2458,140318.99642944336
1.2858,1.1877,189163.08822631836
1.2957,1.1831,166807.30209350586
1.3441,1.1071,157206.62384033203
1.3296,1.1406,172555.36727905273
1.2869,1.1089,155173.88763427734
1.3113,1.1095,271082.4768066406
1.3186,1.2605,139415.234375
1.3457,1.1883,178428.41720581055
1.3306,1.2241,137469.6586608887
1.3207,1.1545,154285.07766723633
1.2817,1.1944,218719.88525390625
1.2897,1.1339,158036.54251098633
1.2835,1.2659,187389.65759277344
1.2867,1.2748,114520.31936645509
1.3038,1.2221,178583.4213256836
1.2961,1.1587,158043.22052001953
1.3174,1.1623,155921.78268432617
1.283,1.2556,193760.45303344732
1.311,1.1896,170430.23986816406
1.2857,1.1182,155319.3572998047
1.3024,1.1569,156420.7649230957
1.313,1.277,140376.20544433594
1.3211,1.245,142460.9031677246
1.3366,1.2688,138591.05682373047
1.3346,1.2787,143676.83181762695
1.2893,1.1462,167216.87088012695
1.3404,1.2431,139775.44021606448
1.284,1.259,194655.72662353516
1.287,1.19,206609.03244018555
1.337,1.1449,160179.60815429688
1.3402,1.2748,142059.68475341797
1.2896,1.2304,211114.24102783203
1.3088,1.1525,154388.78555297852
1.3484,1.1679,168002.9441833496
1.299,1.2444,186781.37664794922
1.3337,1.2648,140359.8159790039
1.323,1.2217,145306.53610229492
1.3239,1.148,163980.5419921875
1.3352,1.2205,143176.56860351565
1.3346,1.1938,171570.7664489746
1.3432,1.2422,139775.44021606448
1.3278,1.18,163960.15014648438
1.2845,1.1936,208939.53170776367
1.3038,1.1838,163156.43310546875
1.3407,1.2657,139409.39254760742
1.32,1.2287,142932.43026733398
1.337,1.1598,153912.4900817871
1.2929,1.2722,151586.44332885742
1.3325,1.1397,167508.54415893555
1.32,1.2015,155192.4934387207
1.3068,1.1788,161550.8430480957
1.3119,1.1965,169628.52478027344
1.3399,1.2275,143143.92547607425
1.3085,1.278,148809.00421142575
1.3416,1.102,156221.02508544922
1.3182,1.1055,271082.4768066406
1.3163,1.219,140289.22805786133
1.3409,1.185,178051.97296142578
1.2937,1.1444,153215.64102172852
1.3137,1.2756,139993.40972900388
1.3359,1.2589,139516.08276367188
1.3456,1.193,172681.8634033203
1.3015,1.2065,190184.02557373047
1.3353,1.2605,140024.63836669922
1.2863,1.2716,179260.034942627
1.303,1.1811,161191.65954589844
1.325,1.1683,161336.82861328125
1.3126,1.2283,149087.72583007812
1.2827,1.2034,217532.14874267578
1.2876,1.2168,205328.30657958984
1.2949,1.2649,171908.41827392578
1.2937,1.1716,158122.44110107422
1.2911,1.1891,190303.55377197266
1.3072,1.2631,173390.17181396481
1.2998,1.2787,141049.08752441406
1.3423,1.2424,139775.44021606448
1.3452,1.1425,164898.01330566406
1.3306,1.2346,140280.82809448245
1.2924,1.1481,154654.4418334961
1.3099,1.261,159268.62869262695
1.3441,1.1811,173144.74639892578
1.3152,1.2247,143389.46380615234
1.2878,1.2022,190533.29162597656
1.2822,1.1766,185190.9423828125
1.3347,1.1097,282775.14877319336
1.2875,1.1362,158036.54251098633
1.2825,1.1896,219334.53216552734
1.3261,1.188,179669.4206237793
1.3066,1.1239,148161.26251220703
1.2901,1.2707,182408.16345214844
1.2936,1.2549,186408.7303161621
1.3128,1.112,271082.4768066406
1.2806,1.1623,165038.26141357422
1.2874,1.1672,169506.3865661621
1.324,1.2063,148864.23950195312
1.3392,1.2723,138215.48461914062
1.3455,1.244,139697.07489013675
1.2989,1.2072,208201.3542175293
1.3399,1.192,173333.0795288086
1.3044,1.1584,156420.7649230957
1.3112,1.1335,150874.51400756836
1.3113,1.1919,170430.23986816406
1.3369,1.1127,273903.9489746094
1.2912,1.1484,154654.4418334961
1.3106,1.1575,156420.7649230957
1.338,1.2694,138374.8649597168
1.28,1.1686,167770.69931030273
1.3123,1.2644,141733.72802734372
1.2927,1.2539,183118.89114379883
1.3051,1.2283,195358.78067016602
1.3141,1.1391,151073.52752685547
1.3463,1.1475,171065.78216552734
1.3476,1.2017,151476.93634033203
1.3425,1.2064,144514.1990661621
1.3143,1.1344,150707.93075561523
1.3167,1.1785,161658.51287841797
1.3438,1.1909,173333.0795288086
1.3473,1.1441,161538.1736755371
1.3039,1.1876,169681.15234375
1.3115,1.2125,151546.04034423828
1.3056,1.2083,188167.1745300293
1.3447,1.2561,135789.70642089844
1.327,1.1094,288594.02084350586
1.3111,1.1982,169628.52478027344
1.3353,1.2191,142878.16314697269
1.2997,1.1753,164479.150390625
1.3234,1.1571,161165.46630859375
1.2842,1.2117,211211.7462158203
1.3425,1.1226,157826.7105102539
1.3482,1.1556,164110.47134399414
1.313,1.1312,150874.51400756836
1.3174,1.1227,148161.26251220703
1.3442,1.1488,171065.78216552734
1.2851,1.2185,231791.22619628906
1.2851,1.2185,231791.22619628906
1.2851,1.2185,231791.22619628906
1.2851,1.2185,231791.22619628906
1.2851,1.2185,231791.22619628906
